Channel              :,CH1,CH2
Frequency            :,1.000kHz,1.000kHz
Period               :,1.000ms,1.000ms
PK-PK                :,5.920V,2.000V
Probe attenuation    :,1X,1X
Voltage per ADC value:,2.500000mV,2.500000mV
Time interval        :,0.40000uS,0.40000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
478,2760.000000,880.000000
479,2720.000000,880.000000
480,2720.000000,880.000000
481,2720.000000,920.000000
482,2720.000000,880.000000
483,2720.000000,880.000000
484,2680.000000,880.000000
485,2720.000000,880.000000
486,2720.000000,880.000000
487,2720.000000,880.000000
488,2680.000000,880.000000
489,2680.000000,880.000000
490,2680.000000,880.000000
491,2720.000000,880.000000
492,2680.000000,880.000000
493,2640.000000,880.000000
494,2680.000000,880.000000
495,2680.000000,880.000000
496,2680.000000,880.000000
497,2680.000000,880.000000
498,2640.000000,880.000000
499,2680.000000,840.000000
500,2680.000000,880.000000
501,2640.000000,880.000000
502,2640.000000,880.000000
503,2640.000000,880.000000
504,2640.000000,880.000000
505,2640.000000,880.000000
506,2600.000000,840.000000
507,2600.000000,840.000000
508,2640.000000,840.000000
509,2600.000000,840.000000
510,2600.000000,880.000000
511,2600.000000,880.000000
512,2600.000000,840.000000
513,2640.000000,840.000000
514,2600.000000,840.000000
515,2640.000000,840.000000
516,2640.000000,840.000000
517,2600.000000,840.000000
518,2600.000000,840.000000
519,2600.000000,840.000000
520,2600.000000,840.000000
521,2600.000000,840.000000
522,2560.000000,840.000000
523,2600.000000,840.000000
524,2560.000000,840.000000
525,2560.000000,840.000000
526,2560.000000,840.000000
527,2560.000000,840.000000
528,2560.000000,800.000000
529,2520.000000,840.000000
530,2560.000000,840.000000
531,2520.000000,840.000000
532,2560.000000,840.000000
533,2520.000000,840.000000
534,2520.000000,800.000000
535,2520.000000,840.000000
536,2520.000000,840.000000
537,2520.000000,840.000000
538,2520.000000,840.000000
539,2520.000000,800.000000
540,2520.000000,840.000000
541,2520.000000,800.000000
542,2480.000000,800.000000
543,2480.000000,800.000000
544,2480.000000,800.000000
545,2480.000000,840.000000
546,2480.000000,800.000000
547,2440.000000,800.000000
548,2480.000000,800.000000
549,2480.000000,840.000000
550,2480.000000,800.000000
551,2480.000000,800.000000
552,2480.000000,840.000000
553,2440.000000,800.000000
554,2440.000000,800.000000
555,2440.000000,800.000000
556,2440.000000,800.000000
557,2440.000000,800.000000
558,2440.000000,800.000000
559,2440.000000,760.000000
