Channel              :,CH1,CH2
Frequency            :,60.00Hz,59.97Hz
Period               :,16.67ms,16.67ms
PK-PK                :,8.200V?,1.080V
Probe attenuation    :,1X,1X
Voltage per ADC value:,2.500000mV,2.500000mV
Time interval        :,20.00000uS,20.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
391,-920.000000,120.000000
392,-880.000000,120.000000
393,-880.000000,120.000000
394,-840.000000,120.000000
395,-800.000000,120.000000
396,-800.000000,120.000000
397,-800.000000,120.000000
398,-760.000000,120.000000
399,-720.000000,80.000000
400,-720.000000,120.000000
401,-680.000000,80.000000
402,-640.000000,80.000000
403,-640.000000,120.000000
404,-640.000000,80.000000
405,-600.000000,80.000000
406,-600.000000,80.000000
407,-560.000000,80.000000
408,-520.000000,80.000000
409,-520.000000,80.000000
410,-440.000000,80.000000
411,-440.000000,40.000000
412,-440.000000,40.000000
413,-400.000000,40.000000
414,-400.000000,40.000000
415,-360.000000,40.000000
416,-320.000000,40.000000
417,-320.000000,40.000000
418,-320.000000,40.000000
419,-320.000000,40.000000
420,-280.000000,40.000000
421,-240.000000,0.000000
422,-200.000000,40.000000
423,-200.000000,0.000000
424,-160.000000,0.000000
425,-120.000000,0.000000
426,-120.000000,40.000000
427,-120.000000,0.000000
428,-40.000000,0.000000
429,-40.000000,-40.000000
430,0.000000,0.000000
431,40.000000,0.000000
432,40.000000,0.000000
433,40.000000,0.000000
434,80.000000,0.000000
435,120.000000,-40.000000
436,120.000000,0.000000
437,160.000000,-40.000000
438,160.000000,-40.000000
439,160.000000,-40.000000
440,200.000000,-40.000000
441,240.000000,-40.000000
442,240.000000,-40.000000
443,280.000000,-40.000000
444,320.000000,-80.000000
445,320.000000,-40.000000
446,360.000000,-40.000000
447,360.000000,-80.000000
448,400.000000,-80.000000
449,440.000000,-80.000000
450,440.000000,-80.000000
451,480.000000,-80.000000
452,480.000000,-80.000000
453,520.000000,-120.000000
454,560.000000,-80.000000
455,560.000000,-80.000000
456,600.000000,-80.000000
457,600.000000,-120.000000
458,640.000000,-80.000000
459,680.000000,-120.000000
460,680.000000,-120.000000
461,720.000000,-120.000000
462,720.000000,-120.000000
463,760.000000,-160.000000
464,800.000000,-120.000000
465,800.000000,-120.000000
466,800.000000,-160.000000
467,840.000000,-120.000000
468,840.000000,-160.000000
469,880.000000,-120.000000
470,920.000000,-120.000000
471,920.000000,-160.000000
472,920.000000,-160.000000
473,960.000000,-160.000000
474,1000.000000,-160.000000
475,1000.000000,-160.000000
476,1040.000000,-160.000000
477,1040.000000,-200.000000
478,1080.000000,-200.000000
479,1080.000000,-200.000000
480,1160.000000,-200.000000
481,1120.000000,-200.000000
482,1160.000000,-160.000000
483,1200.000000,-200.000000
484,1200.000000,-200.000000
485,1240.000000,-200.000000
486,1240.000000,-200.000000
487,1280.000000,-200.000000
488,1280.000000,-200.000000
489,1320.000000,-240.000000
490,1360.000000,-240.000000
491,1360.000000,-240.000000
492,1360.000000,-240.000000
