Channel              :,CH1,CH2
Frequency            :,1.000kHz,1.000kHz
Period               :,1.000ms,1.000ms
PK-PK                :,5.880V,1.040V
Probe attenuation    :,1X,1X
Voltage per ADC value:,2.500000mV,2.500000mV
Time interval        :,0.40000uS,0.40000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
386,2280.000000,-480.000000
387,2280.000000,-480.000000
388,2280.000000,-480.000000
389,2280.000000,-520.000000
390,2280.000000,-520.000000
391,2280.000000,-520.000000
392,2320.000000,-480.000000
393,2320.000000,-480.000000
394,2320.000000,-480.000000
395,2320.000000,-520.000000
396,2320.000000,-480.000000
397,2320.000000,-520.000000
398,2320.000000,-520.000000
399,2320.000000,-480.000000
400,2320.000000,-520.000000
401,2320.000000,-520.000000
402,2360.000000,-480.000000
403,2360.000000,-480.000000
404,2320.000000,-520.000000
405,2320.000000,-480.000000
406,2320.000000,-520.000000
407,2320.000000,-520.000000
408,2360.000000,-480.000000
409,2360.000000,-520.000000
410,2360.000000,-520.000000
411,2360.000000,-520.000000
412,2360.000000,-520.000000
413,2360.000000,-480.000000
414,2360.000000,-480.000000
415,2360.000000,-520.000000
416,2360.000000,-480.000000
417,2360.000000,-480.000000
418,2360.000000,-480.000000
419,2360.000000,-480.000000
420,2400.000000,-520.000000
421,2360.000000,-480.000000
422,2360.000000,-480.000000
423,2400.000000,-520.000000
424,2360.000000,-520.000000
425,2400.000000,-520.000000
426,2400.000000,-480.000000
427,2360.000000,-520.000000
428,2400.000000,-520.000000
429,2400.000000,-520.000000
430,2360.000000,-520.000000
431,2400.000000,-520.000000
432,2360.000000,-520.000000
433,2400.000000,-520.000000
434,2400.000000,-480.000000
435,2400.000000,-480.000000
436,2400.000000,-480.000000
437,2400.000000,-520.000000
438,2440.000000,-480.000000
439,2400.000000,-480.000000
440,2440.000000,-520.000000
441,2400.000000,-520.000000
442,2440.000000,-480.000000
443,2400.000000,-520.000000
444,2440.000000,-480.000000
445,2400.000000,-480.000000
446,2440.000000,-480.000000
447,2440.000000,-520.000000
448,2440.000000,-520.000000
449,2440.000000,-480.000000
450,2440.000000,-480.000000
451,2440.000000,-480.000000
452,2440.000000,-480.000000
453,2440.000000,-480.000000
454,2480.000000,-520.000000
455,2440.000000,-520.000000
456,2480.000000,-480.000000
457,2480.000000,-480.000000
458,2480.000000,-520.000000
459,2480.000000,-480.000000
460,2480.000000,-480.000000
461,2440.000000,-520.000000
462,2480.000000,-480.000000
463,2480.000000,-520.000000
464,2480.000000,-480.000000
465,2440.000000,-520.000000
466,2480.000000,-520.000000
467,2480.000000,-480.000000
468,2520.000000,-480.000000
469,2480.000000,-520.000000
470,2520.000000,-480.000000
471,2480.000000,-520.000000
472,2520.000000,-480.000000
473,2480.000000,-480.000000
474,2520.000000,-480.000000
475,2520.000000,-480.000000
476,2520.000000,-480.000000
477,2520.000000,-480.000000
478,2520.000000,-520.000000
479,2520.000000,-480.000000
480,2520.000000,-480.000000
481,2520.000000,-480.000000
482,2520.000000,-520.000000
483,2520.000000,-480.000000
484,2520.000000,-520.000000
485,2480.000000,-480.000000
486,2520.000000,-480.000000
487,2520.000000,-480.000000
488,2520.000000,-480.000000
489,2520.000000,-480.000000
490,2520.000000,-520.000000
491,2560.000000,-520.000000
492,2520.000000,-520.000000
493,2560.000000,-480.000000
494,2560.000000,-520.000000
495,2560.000000,-480.000000
496,2560.000000,-520.000000
497,2560.000000,-480.000000
498,2560.000000,-520.000000
499,2560.000000,-520.000000
500,2560.000000,-480.000000
501,2560.000000,-480.000000
502,2560.000000,-520.000000
503,2560.000000,-480.000000
504,2560.000000,-480.000000
505,2560.000000,-520.000000
506,2560.000000,-520.000000
507,2560.000000,-480.000000
508,2560.000000,-520.000000
509,2560.000000,-480.000000
510,2560.000000,-480.000000
511,2560.000000,-520.000000
512,2600.000000,-480.000000
513,2600.000000,-520.000000
514,2560.000000,-480.000000
515,2600.000000,-520.000000
516,2600.000000,-480.000000
517,2600.000000,-520.000000
518,2600.000000,-480.000000
519,2600.000000,-480.000000
520,2600.000000,-480.000000
521,2600.000000,-480.000000
